Group or Channel Name|Chat Type|Chat URL|Number of Members or Subscribers|Description|Scrapped From|Scrapped Date
ONLYFANS VIP LIBERADO|group|https://t.me/onlyfans_liberado|9086|O melhor grupo gratis de OnlyFans, privacy, close friends.|https://telegrupos.com.br/categoria/grupos-telegram-adulto/|2023-11-26 00:23:07.528903
ALL VAZADOS 2023|group|https://t.me/AllVazados2023|7229|@AllLives2023|https://telegrupos.com.br/categoria/grupos-telegram-adulto/|2023-11-26 00:23:09.722964
CAIU NA NET|channel|https://t.me/+sWjRpQqLSQNhMDJh|11318|N/A|https://telegrupos.com.br/categoria/grupos-telegram-adulto/|2023-11-26 00:23:11.578371
CAIU NA NET|group|https://t.me/nanetcaiu76|4596|Novinhas vazadas e amadoras|https://telegrupos.com.br/categoria/grupos-telegram-adulto/|2023-11-26 00:23:12.003071
Tufos HQ's|channel|https://t.me/+bA9eQyTAmPhhMTUx|2530|GRUPO MAIS COMPLETO DA TUFOS NO TELEGRAM!! ADM: @ADMMJR|https://telegrupos.com.br/categoria/grupos-telegram-adulto/|2023-11-26 00:23:12.894982
PUTAS RARAS PACK|channel|https://t.me/+o9un_85hxXIwMWNh|4563|ADQUIRA O VIP@HotBAN|https://telegrupos.com.br/categoria/grupos-telegram-adulto/|2023-11-26 00:23:14.749986
SUB MUNDO - PROBIDAO|group|https://t.me/+qpJQJhchjCw0ODRh|5485|SEM CONTEUDO PROIBIDOS|https://telegrupos.com.br/categoria/grupos-telegram-adulto/|2023-11-26 00:23:18.579582
ONLYFANS VIP GRATUITO|group|https://t.me/onlyfansvipgratuito|2548|O melhor grupo gratis de OnlyFans, privacy, close friends.|https://telegrupos.com.br/categoria/grupos-telegram-adulto/|2023-11-26 00:23:20.383252
PUTARIA BRASILEIRA|channel|https://t.me/+Gia2GZ9nMqM3NWVh|9292|N/A|https://telegrupos.com.br/categoria/grupos-telegram-adulto/|2023-11-26 00:23:22.264660
Cuckold & Esposas|group|https://t.me/cuckoldeesposas|7477|Bem vindo(a) ao Cuckold & Esposas!Leia as regras para nao ser banido! Conteudo CP/GORE/ZOO Vendas sem autorizacao Foto ou video de pau Perfil sem nome Encaminhar link Invadir PV Compartilhe o grupo!|https://telegrupos.com.br/categoria/grupos-telegram-adulto/|2023-11-26 00:23:28.763074
@Instagramlivesofc|group|https://t.me/Instagramlivesofc|9991|You can view and join @Instagramlivesofc right away.|https://telegrupos.com.br/categoria/grupos-telegram-adulto/|2023-11-26 00:23:30.819477
[D][V][R][K] Ninfetas|channel|https://t.me/+JnLHPHhHeNxkZGNh|3368|N/A|https://telegrupos.com.br/categoria/grupos-telegram-adulto/|2023-11-26 00:23:44.681635
Conteudos Ninja|channel|https://t.me/+KhI5u7WcTZ9jZmRh|14454|OS MELHORES CONTEUDOS, ONLYFANS VOCE ENCONTRA AQUI |https://telegrupos.com.br/categoria/grupos-telegram-adulto/|2023-11-26 00:23:48.703612
PornLand PUBLIC br|group|https://t.me/PornaLandPUBLIC|32316|You can view and join @PornaLandPUBLIC right away.|https://telegrupos.com.br/categoria/grupos-telegram-adulto/|2023-11-26 00:23:50.567194
(Chat) casadinhas|group|https://t.me/+JdH1yEFufDwzOWQx|3341|N/A|https://telegrupos.com.br/categoria/grupos-telegram-adulto/|2023-11-26 00:24:43.428642
Caiu na City PREVIAS|group|https://t.me/+IwxtzeX2tThiZGQx|82442| AVISO Esse grupo nao tem nenhum conteudo -18 ou compactua com isso Tudo +18 |https://telegrupos.com.br/categoria/grupos-telegram-adulto/|2023-11-26 00:24:50.201395
Previas das gostosas|group|https://t.me/previasamandalinda|1112|DEsg'RUTEM DOs MELHOREs COnTEUDOs VIPS COM ALTA oUALIDADE. GOsTOsAs oUE IRAM TE g'AZER gOZAR DE VERDADE. APENAS R$19,90 ACEssO VITALICIO  @Amanda_dlc|https://telegrupos.com.br/categoria/grupos-telegram-adulto/|2023-11-26 00:24:53.943531
Iza Previas|channel|https://t.me/+r8XcJb4psm40Y2Rh|14577|N/A|https://telegrupos.com.br/categoria/grupos-telegram-adulto/|2023-11-26 00:25:02.390741
[CHAT] + 18|group|https://t.me/chatlive18|14295|Chalive18 2.0 https://t.me/+fM-ovFHLmEc2MjZh|https://telegrupos.com.br/categoria/grupos-telegram-adulto/|2023-11-26 00:25:07.240547
ONLY HOT - (ONLYFANS/PRIVACY) PREVIAS FREE..|group|https://t.me/conteudo_vip|7052|You can view and join @conteudo_vip right away.|https://telegrupos.com.br/categoria/grupos-telegram-adulto/|2023-11-26 00:25:16.692474
Clube  Oficial|channel|https://t.me/+zS_8NXg_i-EzZjU5|9327|N/A|https://telegrupos.com.br/categoria/grupos-telegram-adulto/|2023-11-26 00:26:03.115178
ONLY DO REI|channel|https://t.me/+LUSeqmyqGB1jY2Mx|44807|N/A|https://telegrupos.com.br/categoria/grupos-telegram-adulto/|2023-11-26 00:26:05.744625
Rei Dos Links|channel|https://t.me/+Rebi4-hxCSVlZTlh|6216|N/A|https://telegrupos.com.br/categoria/grupos-telegram-adulto/|2023-11-26 00:26:08.959179
Vazados novinhas vip|channel|https://t.me/+IXcHPxPsCckyNDUx|7330|N/A|https://telegrupos.com.br/categoria/grupos-telegram-adulto/|2023-11-26 00:26:16.739775
XCORNOS [PREVIAS]|channel|https://t.me/+MChOOfhGFMc1OGMx|1733|MELHOR GRUPO DE CORNO E SUAS PUTINHAS+ de 1.300 esposas infieis com seus corninhos assistindo, no XCORNOS VIP PROMOCAO  Assine agora o VIP VITALICIO de R$ 80 por apenas R$ 20 so HOJE! https://t.me/xcornosbot |https://telegrupos.com.br/categoria/grupos-telegram-adulto/|2023-11-26 00:26:17.582671
Melhores vazados|group|https://t.me/+j17gV5CseeI5ODUx|6325|N/A|https://telegrupos.com.br/categoria/grupos-telegram-adulto/|2023-11-26 00:26:20.281644
OnlyFree|group|https://t.me/onlyfree54|4791|https://t.me/suportSPEEDSuport|https://telegrupos.com.br/categoria/grupos-telegram-adulto/|2023-11-26 00:27:08.613377
ONLY FRIENDS|channel|https://t.me/+gjY8hijzim9kYTQ5|36805|N/A|https://telegrupos.com.br/categoria/grupos-telegram-adulto/|2023-11-26 00:27:10.876265
Modelos Adventure|group|https://t.me/Adventureplus|4593|As melhores modelos desse Brasil, do jeito que a gente Gosta|https://telegrupos.com.br/categoria/grupos-telegram-adulto/|2023-11-26 00:27:17.070060
Valhalla Oficial|channel|https://t.me/+w8DkmmK4jOZlMjMx|1467|N/A|https://telegrupos.com.br/categoria/grupos-telegram-adulto/|2023-11-26 00:27:19.019399
Mundo Corno|channel|https://t.me/+VfmrAm-81E0wYWQx|17060|Grande acervo de conteudos Cuckold para Casais, Cornos e Solteiros . Aqui o prazer e garantido. |https://telegrupos.com.br/categoria/grupos-telegram-adulto/|2023-11-26 00:27:23.113746
Casa dos Cornos|channel|https://t.me/+DLR9MgI9bRBiNDQx|26736|Grande acervo GRATUITO de conteudos Cuckold para quem curte o universo Liberal . Aqui o prazer e garantido.  By @rainhadovip_bot|https://telegrupos.com.br/categoria/grupos-telegram-adulto/|2023-11-26 00:27:25.016518
Casa das Gordinhas|channel|https://t.me/+74shDc0fhwswNmMx|10836|Grande acervo GRATUITO de conteudos de Gordinhas, BBWs e MILFs . Aqui o prazer e garantido.  By @rainhadovip_bot|https://telegrupos.com.br/categoria/grupos-telegram-adulto/|2023-11-26 00:27:26.894462
Casa das Gravidas|channel|https://t.me/+xb6BLnmUqEg0MjNh|12288|Grande acervo GRATUITO de conteudos de Gravidas e Lactacao . Aqui o prazer e garantido.  By @rainhadovipnew_bot|https://telegrupos.com.br/categoria/grupos-telegram-adulto/|2023-11-26 00:27:28.754723
[8K]  Rainha dos F3tiches|channel|https://t.me/+geNyXyyBnSA4MTQx|9337|Grande acervo de conteudos fetichistas para todos os publicos  . Aqui o prazer e garantido!|https://telegrupos.com.br/categoria/grupos-telegram-adulto/|2023-11-26 00:27:31.023142
VIDEOS VAZADOS +18|group|https://t.me/grupovazadosnovinha|11970|PUTARIA|https://telegrupos.com.br/categoria/grupos-telegram-adulto/|2023-11-26 00:27:39.585985
VIDEOS VAZADOS +18|group|https://t.me/videosvazadosbrs|21313|Todos os tipo de videos vazados |https://telegrupos.com.br/categoria/grupos-telegram-adulto/|2023-11-26 00:27:41.675446
MILFS & COROAS GOSTOSAS|group|https://t.me/maesecoroasgostosas|1664|You can view and join @maesecoroasgostosas right away.|https://telegrupos.com.br/categoria/grupos-telegram-adulto/|2023-11-26 00:27:43.628931
Safadinhas|channel|https://t.me/+q6fJn3nc_1E1ODYx|4224| AVISO! Os nossos grupos nao tem CP (Pornografia Infantil) ou qualquer conteudo -18!Pedofilia e crime! Art\\'s. 241-A ;CONHECA O MELHOR GRUPO DE PUTARIA DA INTERNET - ATUALIZADO TODOS OS DIAS!DIFERENTE DE TUDO QUE VOCE VE POR AI |https://telegrupos.com.br/categoria/grupos-telegram-adulto/|2023-11-26 00:28:38.518694
Cabare das Ninfetas|channel|https://t.me/+TegPLHrkanAwNWUx|3300| AVISO! Os nossos grupos nao tem CP (Pornografia Infantil) ou qualquer conteudo -18!Pedofilia e crime! Art\\'s. 241-A ;CONHECA O MELHOR GRUPO DE PUTARIA DA INTERNET - ATUALIZADO TODOS OS DIAS!DIFERENTE DE TUDO QUE VOCE VE POR AI |https://telegrupos.com.br/categoria/grupos-telegram-adulto/|2023-11-26 00:28:40.734750
Vazadinhos Hot|group|https://t.me/+m0IIgsTc9WpiMGZh|16031|Conteudo exclusivo no VIP @vazadinhossdohotbot|https://telegrupos.com.br/categoria/grupos-telegram-adulto/|2023-11-26 00:28:48.251320
Mega drops Onlyfans|group|https://t.me/megadropsonlyfans|2737|New leaks every day #onlyfans #of #leaks #leaked #mega #pack|https://telegrupos.com.br/categoria/grupos-telegram-adulto/|2023-11-26 00:28:52.769024
GP NOVINHAS|channel|https://t.me/+JMuRyCpQ2884NGUx|4524|N/A|https://telegrupos.com.br/categoria/grupos-telegram-adulto/|2023-11-26 00:28:56.450075
Conteudos Snake Free|channel|https://t.me/+sNNZXmxiFAZlYjRh|89566|Proibido Todos os conteudos completos estao no nosso vip |https://telegrupos.com.br/categoria/grupos-telegram-adulto/|2023-11-26 00:28:58.387604
Tropa do Genio - midias vazadas|channel|https://t.me/+4BSW6BfaS8U4YzEx|7041|N/A|https://telegrupos.com.br/categoria/grupos-telegram-adulto/|2023-11-26 00:29:00.346636
Tropa do Genio - Free|group|https://t.me/+yey1i5sCiuNmZDI5|99007|N/A|https://telegrupos.com.br/categoria/grupos-telegram-adulto/|2023-11-26 00:29:09.690294
BRAHUB CHANNEL|N/A|https://t.me/BraHub_Channel/6174|12740|\\Melhor canal VIP do Telegramhttps://t.me/+MFeLqlACQqg3OWZh|https://telegrupos.com.br/categoria/grupos-telegram-adulto/|2023-11-26 00:29:30.408930
CLOSEFLIX  FREE|group|https://t.me/closeflixfree|1674|* Bem vindo ao CLOSEFLIX  FREE    * Postagens diarias e previas dos conteudos das gatas + gostosas do onlyf@ ns/priv@ cy  * FACA PARTE DO CLOSEFLIX  VIP AGORA   * CHAVE PIX: srportobusiness@gmail.com|https://telegrupos.com.br/categoria/grupos-telegram-adulto/|2023-11-26 00:29:36.299506
Cameras//flagras free|group|https://t.me/camfreeecam358|1946|Cameras free|https://telegrupos.com.br/categoria/grupos-telegram-adulto/|2023-11-26 00:29:38.330817
BR VAZAMENTOS|group|https://t.me/brvazamentos98|4043|So vazadas|https://telegrupos.com.br/categoria/grupos-telegram-adulto/|2023-11-26 00:29:40.127965
EXTRA FREE VIPPS|group|https://t.me/extrafreepacks|2342|You can view and join @extrafreepacks right away.|https://telegrupos.com.br/categoria/grupos-telegram-adulto/|2023-11-26 00:29:46.602261
Famosas onlyfans|group|https://t.me/canalgratis002|6821|You can view and join @canalgratis002 right away.|https://telegrupos.com.br/categoria/grupos-telegram-adulto/|2023-11-26 00:29:50.780734
So Putaria Pesada 2.0|channel|https://t.me/+I5yRt7Cj2LgwYzYx|12487| AVISO! Os nossos grupos nao tem CP (Pornografia Infantil) ou qualquer conteudo -18!Pedofilia e crime! Art\\'s. 241-A ;CONHECA O MELHOR GRUPO DE PUTARIA DA INTERNET - ATUALIZADO TODOS OS DIAS!DIFERENTE DE TUDO QUE VOCE VE POR AI |https://telegrupos.com.br/categoria/grupos-telegram-adulto/|2023-11-26 00:30:05.151800
VIP PREMIUM GRATIS|group|https://t.me/novinhasonlyf|4161|Close friends e Onlyfans das gostosasAtualizando diariamenteConteudo exclusivo|https://telegrupos.com.br/categoria/grupos-telegram-adulto/|2023-11-26 00:30:10.158580
HOT PRIVACY FAMOSAS|group|https://t.me/nelhoresdoprivacy|2114|Close friends e Onlyfans das gostosasAtualizando diariamenteConteudo exclusivo|https://telegrupos.com.br/categoria/grupos-telegram-adulto/|2023-11-26 00:30:12.440837
SURUBAS BRASIL|group|https://t.me/grupalbrasil|1154|You can view and join @grupalbrasil right away.|https://telegrupos.com.br/categoria/grupos-telegram-adulto/|2023-11-26 00:30:14.488204
pererecas free|group|https://t.me/+2KPHjAMRGXBlNWJh|1134|N/A|https://telegrupos.com.br/categoria/grupos-telegram-adulto/|2023-11-26 00:30:16.314712
Vazados free|group|https://t.me/vazadosvip12|4224|You can view and join @vazadosvip12 right away.|https://telegrupos.com.br/categoria/grupos-telegram-adulto/|2023-11-26 00:30:18.175678
CLASH FREE|group|https://t.me/+8CtPfTjRikBjNDFh|36617|Fala comigo, minha tropa! Esse e o nosso grupo FREE, onde mandamos as previas do nosso grupo VIP. Para ter acesso aos conteudos completos (+ DE 20k) Efetue o pagamento pelo chave pixEdsontadeu.a.rocha@gmail.com R$ 9,90E envie o comprovante ao @cslsuport|https://telegrupos.com.br/categoria/grupos-telegram-adulto/|2023-11-26 00:30:20.160133
Funkeirasrebolandoprevias|group|https://t.me/+k9k50CDgeR0yNWE5|2225|Previas do que voce encontrara no grupo vip. As mais gostosas das redes dancando do jeitinho que voce quer ver....Grupo vip com todos os videos na integra R$30,00 / acesso vitalicio Chave pix  admfrebo@gmail.com|https://telegrupos.com.br/categoria/grupos-telegram-adulto/|2023-11-26 00:30:22.433883
VAzAdinhos da D4rkweb|channel|https://t.me/+Vy6n8zLbYe8xMWUx|4621|N/A|https://putariatelegram.net/c/adult-content-18/|2023-11-26 00:30:57.970729
Nudiez Prime|channel|https://t.me/+x6LAaeWsVzY0OWUx|10313|N/A|https://putariatelegram.net/c/adult-content-18/|2023-11-26 00:30:58.183044
V4ZADOS BANIDOS Extremos|channel|https://t.me/+Rq5MG3RhW6M4MjBh|1724|N/A|https://putariatelegram.net/c/adult-content-18/|2023-11-26 00:30:59.450809
[D][V][R][K] Ninfetas|channel|https://t.me/+atemYQVZvTA0MWUx|3375|N/A|https://putariatelegram.net/c/adult-content-18/|2023-11-26 00:30:59.711895
Incestos|channel|https://t.me/+BGzLFPMkNAc3YzFh|2042|Seja VIP  @vipinc3st0_bot(C)(L)(I)(Q)(U)(E) em \"Pedir Para Entrar\" |https://putariatelegram.net/c/adult-content-18/|2023-11-26 00:30:59.919428
Tropa da DZ7|group|https://t.me/+UfL-f81XlJUyNDQx|14560|N/A|https://gruposdeputariatelegram.com/|2023-11-26 00:31:17.030691
Funk Channel|channel|https://t.me/+9nkzpQXcnwlkMmE5|125161|GRUPO VIP - FUNK PROIBIDAOChame @Universopx|https://gruposdeputariatelegram.com/|2023-11-26 00:31:17.455523
NOVINHAS BUCETUDAS|group|https://t.me/+Uz0Qfo1jXeZjNGJh|1224|N/A|https://gruposdeputariatelegram.com/|2023-11-26 00:31:17.860662
NOVINHAS VAZADAS|channel|https://t.me/+eAwl6oJo7OlkNGZh|1832|Menores de 18 anos. Conteudo proibido (Gore,CP, zoofilia, estupro...).|https://gruposdeputariatelegram.com/|2023-11-26 00:31:18.477032
Ninja do Only|channel|https://t.me/+76Ziy7_rbQ83NTBh|17360|Melhor grupo do momento|https://gruposdeputariatelegram.com/|2023-11-26 00:31:21.822692
GRUPO VIP GOLD Entre de graca Hoje|channel|https://t.me/+L64pn4dwnAZiZjkx|1087|Amadoras, cornos, anal, gravidas, em publico, novinhas, gordinhas, trans, interracial, caiu na Net,|https://gruposdeputariatelegram.com/|2023-11-26 00:31:22.684479
VALE DAS TRANS|group|https://t.me/valedastrans|1496|RegrasProibido PedofiliaProibido ZofiliaProibido DescriminacaoInvasao de PrivadoBrigas e/ou assuntos sobre politicaLinksVender sem verificacaoDivulgar sem permissaoQualquer tipo de preconceito|https://gruposdeputariatelegram.com/|2023-11-26 00:31:33.761945
PRIVE HOT|group|https://t.me/+O6TBMD2fX_41YWU1|1540| VAGAS PARA VERIFICADOS/AS PARCERIAS DISPONIVEIS GRUPO PARCEIRO >> https://t.me/+hCs02V7Tlek5Yjk0 Proibido venda nao autorizada  Proibido CP, ZOOFILIA, INCESTO e GORE Proibido menores de Idade|https://gruposdeputariatelegram.com/|2023-11-26 00:31:34.542959
VAZADINHAS +18|channel|https://t.me/+19VuH-trNz41YzBh|1446|(C)(L)(I)(Q)(U)(E) em \"Pedir Para Entrar\" |https://gruposdeputariatelegram.com/|2023-11-26 00:31:36.470347
ONLYFANS GRATIS|group|https://t.me/OnlyfansBrasilGratis|46340|Para comprar o grupo Vip >>  @Acessoaoviip_bot|https://gruposdeputariatelegram.com/|2023-11-26 00:31:43.303727
Gostosas Brasil  - Free|group|https://t.me/joinchat/ei30xgx-jalkMGQx|28150|VEM FAZER PARTE DO MAIOR E MELHOR GRUPO ADULTO DO , ACESSE: @vipgstsbot |https://gruposdeputariatelegram.com/|2023-11-26 00:31:44.830438
PROIBIDAO TRANS(tm)|channel|https://t.me/+rfi82q0ENSswOGJh|4514|Doces ou Travessuras? |https://gruposdeputariatelegram.com/|2023-11-26 00:31:46.751480
King Dos Packs|channel|https://t.me/+2fsfWmwlDjVhM2Ex|5342|Link do Canal: >>> https://t.me/+wZsCqsWB6tc3N2Ix|https://gruposdeputariatelegram.com/|2023-11-26 00:31:49.470233
LINKS DO REX  OFC|channel|https://t.me/+C8e_AHhplAllNTgx|4439|Link do CANAL >>>>>>>> https://t.me/+C8e_AHhplAllNTgx|https://gruposdeputariatelegram.com/|2023-11-26 00:31:49.845191
SUPREME DOS LINKS|channel|https://t.me/+ID7LQE2Bz-Y3YWEx|3547|LINK DO CANAL >>>>>>>>>>>> https://t.me/+ID7LQE2Bz-Y3YWEx|https://gruposdeputariatelegram.com/|2023-11-26 00:31:50.236061
Vazou Putinhas|group|https://t.me/+NmmvskBQ_V8wZjMx|2216|N/A|https://gruposdeputariatelegram.com/|2023-11-26 00:31:58.188881
VAZADINHAS +18|channel|https://t.me/+BicWfpXaSGAxZjYx|1446|(C)(L)(I)(Q)(U)(E) em \"Pedir Para Entrar\" |https://gruposdeputariatelegram.com/|2023-11-26 00:31:59.365344
Putaria Compartilhada.#chat|group|https://t.me/chPutaria|2778|Os melhores videos do telegram!!Porno,packs,\"Grupo vip\" e chat cheio de tesao!!!Link:  https://t.me/grPutariaConheca Pessoas de Todos os Lugares e Generos!Acesse Aqui  !!  https://t.me/amPutaria|https://gruposdeputariatelegram.com/|2023-11-26 00:32:01.673295
Novinh4s D4rk Net|group|https://t.me/+5_9tNLD2FMdhY2Q5|12403|N/A|https://gruposdeputariatelegram.com/|2023-11-26 00:32:02.462758
HotPackVips|channel|https://t.me/+Ykej3zJ_GKI4NTEx|4189|Packs|https://gruposdeputariatelegram.com/|2023-11-26 00:32:12.344988
@onlybrafree|group|https://t.me/onlybrafree|5035|Midias Novas Todos Os Dias!!!Suporte: @admonlybravip|https://gruposdeputariatelegram.com/|2023-11-26 00:32:13.144762
Outdoor sex|group|https://t.me/OutdoorS3x|14736|The world's best public sex videos, here we have it all: Sex on the beach, in the car, in public and private places and everywhere else that's out.|https://gruposdeputariatelegram.com/|2023-11-26 00:32:14.499818
migvNgoqua tlequaG'gv|group|https://t.me/hentaiamo|1328|You can view and join @hentaiamo right away.|https://gruposdeputariatelegram.com/|2023-11-26 00:32:22.751136
Novinhas Vazadinhas|channel|https://t.me/+mpirYhUIDBFmMmYx|2762|N/A|https://gruposdeputariatelegram.com/|2023-11-26 00:32:25.985500
Adolescentes VIP|channel|https://t.me/+p_9eZdWA2VxjMmRh|3677|Canal exclusivo para maiores de idade|https://gruposdeputariatelegram.com/|2023-11-26 00:32:27.135670
HOT LIVES|group|https://t.me/Hot_Lvies|1237|Melhor Canal de Diversas Categorias de +18: https://t.me/MegaapacksParceria  : Melhor site de Porno legendado: https://www.pornolegendadoxxx.com/|https://gruposdeputariatelegram.com/|2023-11-26 00:32:27.516961
Garotos Safados  [PREVIAs]|group|https://t.me/+So23v9gDQlhhNjQx|11895|OnlyFans * Privacy * Amador * Dotados * Sem Camisinha * Famosos * Packs * Vazados * XVideos Red * Meninos Online * Irmaos Dotados * HotBoys * Mundo Mais * Men * MenAtPlay * Lucas Entertainment * IOMacho * TimTales * TransAngels * LatinBoyz e muito mais.|https://gruposdeputariatelegram.com/|2023-11-26 00:32:35.751042
Flagras Reais (previas)|group|https://t.me/upskirtprevias|6718|You can view and join @upskirtprevias right away.|https://gruposdeputariatelegram.com/|2023-11-26 00:32:37.563591
Gays em acao|group|https://t.me/+x8YwgCBtQCNjZDkx|2185|Sem conteudos ilegais |https://gruposdeputariatelegram.com/|2023-11-26 00:32:38.804407
CANAL ADULTO|channel|http://t.me/+JrqyCCwOP_dhNjMx|20234|O conteudo do canal e destinado a maiores de (+18) anos de idade. Todas as modelos e atores sao adultos.|https://gruposdeputariatelegram.com/|2023-11-26 00:32:48.047863
HOTPLUS|group|https://t.me/+MO5BBEM5xzc1ZGYx|6423|N/A|https://gruposdeputariatelegram.com/|2023-11-26 00:32:50.969658
Mundo H|group|https://t.me/+N6AB3uqHDQswYTcx|6233|!Bienvenidos a la emocion del anime y los comics H! Compartimos videos epicos, debates apasionados y arte impresionante. !Unete a la diversion! Tu ganso lo espera |https://gruposdeputariatelegram.com/|2023-11-26 00:32:51.758830
NinaHGAMES|group|https://t.me/NinaHGAMES|2330|You can view and join @NinaHGAMES right away.|https://gruposdeputariatelegram.com/|2023-11-26 00:32:52.126226
CaTrans|group|https://t.me/CaTranshome|4638|You can view and join @CaTranshome right away.|https://gruposdeputariatelegram.com/|2023-11-26 00:32:58.157174
COVIL DA BUBBU (PUTARIA E VENDAS)|group|https://t.me/+RLjrPNBwhD5iOWRh|1559|N/A|https://gruposdeputariatelegram.com/|2023-11-26 00:32:58.548051
FEMS/PASS/TRANS/SISSYS/YAOI (chat)|group|https://t.me/fems_trans_sissysbr|2370|You can view and join @fems_trans_sissysbr right away.|https://gruposdeputariatelegram.com/|2023-11-26 00:33:01.750869
MAE E FILHO RAROS, BRASIL|group|https://t.me/maeefilho|13559| INCESTO COM MAE  Mais de 300 midias Fotos e videos de incesto 100% reais Conteudo brasileiro Apenas mae e filho Seguro, nada ilegal e nada com menores de 18  R$ 22,00 - Grupo Vip + paginas de incesto Suporte: @Itzpapacito|https://gruposdeputariatelegram.com/|2023-11-26 00:33:04.202582
CLUBE DOURADO vazadas|channel|https://t.me/+BKqYgD6O5OZkZjQx|2994|Conteudos Atualizados!!|https://gruposdeputariatelegram.com/|2023-11-26 00:33:13.788005
Vazados Famosinhas Insta|group|https://t.me/vazadosfamosinhasinsta|3436|You can view and join @vazadosfamosinhasinsta right away.|https://gruposdeputariatelegram.com/|2023-11-26 00:33:14.771995
@VazouNoRei|group|https://t.me/VazouNoRei|3191|You can view and join @VazouNoRei right away.|https://gruposdeputariatelegram.com/|2023-11-26 00:33:15.169993
Metflix 18+|group|https://t.me/MetflixBRL|1407|You can view and join @MetflixBRL right away.|https://gruposdeputariatelegram.com/|2023-11-26 00:33:16.044986
Caminhoneiras Brasil|group|https://t.me/cambrasil|7491|You can view and join @cambrasil right away.|https://gruposdeputariatelegram.com/|2023-11-26 00:33:18.844407
Clube adulto|group|https://t.me/clubeadultooficial|2086|You can view and join @clubeadultooficial right away.|https://linksdegrupo.com/category/grupo-de-putaria-telegram/|2023-11-26 00:33:25.377601
Alegria diaria|group|https://t.me/+0z2G-WfAZp9kZTBh|2059|Sejam bem vindos ao unico grupo de putaria sem fins lucrativosSo pura diversao Qualquer venda ou algo similar a pornografia infantil denuncie e me mande uma mensagem, iremos tomar medidas cabiveis |https://linksdegrupo.com/category/grupo-de-putaria-telegram/|2023-11-26 00:33:25.955699
OnlyFans das TikTokers|channel|https://t.me/+y7tAw0GvaHFjMjlh|1081|Agora voce pode ver aquela TikToker gostosinha sem roupa e meladinha.|https://linksdegrupo.com/category/grupo-de-putaria-telegram/|2023-11-26 00:33:26.867958
PUTARIA 24 HORAS|channel|https://t.me/+BFzI-IcGSkVkYzMx|1157|N/A|https://linksdegrupo.com/category/grupo-de-putaria-telegram/|2023-11-26 00:33:27.344333
I love pussy|group|https://t.me/Ilovepusssyyy|1128|You can view and join @Ilovepusssyyy right away.|https://linksdegrupo.com/category/grupo-de-putaria-telegram/|2023-11-26 00:33:46.750499
Gostosas Amadoras +18|group|https://t.me/AM4D0RAS|1215|You can view and join @AM4D0RAS right away.|https://linksdegrupo.com/category/grupo-de-putaria-telegram/|2023-11-26 00:33:54.125434
Puta de corno manso cuckold|group|https://t.me/+sJhCrb1WnVE1NWQx|1636|Nosso grupo principalhttps://t.me/+dkAUGK9e0v5lOTExObs:Nao tem como abrir o grupo para envio de midia,caso abrir o grupo cai devido uns lixo que vem postar conteudo ilegal e nao tem consciencia que tal midia tem rastreio...|https://linksdegrupo.com/category/grupo-de-putaria-telegram/|2023-11-26 00:33:54.656706
OnlyFans e Privacy +18|channel|https://t.me/+o1JwvZ366AFmODgx|4317|Vazadas das fomosinhas OnlyFans, Privacy brasileiras.|https://linksdegrupo.com/category/grupo-de-putaria-telegram/|2023-11-26 00:33:56.689142
XCORNOS [PREVIAS]|channel|https://t.me/+Qs8G1VmBuARhZmVh|1733|MELHOR GRUPO DE CORNO E SUAS PUTINHAS+ de 1.300 esposas infieis com seus corninhos assistindo, no XCORNOS VIP PROMOCAO  Assine agora o VIP VITALICIO de R$ 80 por apenas R$ 20 so HOJE! https://t.me/xcornosbot |https://linksdegrupo.com/category/grupo-de-putaria-telegram/|2023-11-26 00:34:04.953425
HOT VAZADOS VIP+|group|https://t.me/hotvazadosvip|1192|NAO DAMOS REEMBOLSO POR SE TRATAR DE UM PRODUTO DIGITAL, MOTIVO: VC SIMPLESMENTE PODE ENTRAR NO GRUPO VIP E BAIXAR OS VIDEOS E DPS QUERER O REEMBOLSO, POR ESSE MOTIVO N DAMOS REEMBOLSO, N INSISTA.|https://linksdegrupo.com/category/grupo-de-putaria-telegram/|2023-11-26 00:34:05.484744
Putaria 24h|group|https://t.me/+WAfK8Ddr1xQ4NDYx|1123|N/A|https://linksdegrupo.com/category/grupo-de-putaria-telegram/|2023-11-26 00:34:13.172293
Devil Vazados|channel|https://t.me/+WDQqOQm7cvk0ZTM5|1873|N/A|https://linksdegrupo.com/category/grupo-de-putaria-telegram/|2023-11-26 00:34:15.359629
Cumshots & Mamadas|group|https://t.me/+ICqXmreM81c0MDAx|3431|N/A|https://linksdegrupo.com/category/grupo-de-putaria-telegram/|2023-11-26 00:34:20.890787
Drop Trans|channel|https://t.me/+EPoIpxhMHFMyODYx|2288|Canal voltado para packs de trans e afinsLinks de todos os canais:https://t.me/DropPackss|https://linksdegrupo.com/category/grupo-de-putaria-telegram/|2023-11-26 00:34:31.688622
Cabare Encantado|group|https://t.me/cabareencantadooficial|6501|Diversao garantida todos os dias!|https://linksdegrupo.com/category/grupo-de-putaria-telegram/|2023-11-26 00:34:37.922907
